ICAO,IATA,manufacturer,model
A124,A4F,Antonov,An-124 Ruslan
A140,A40,Antonov,An-140
A148,A81,Antonov,An-148
A158,A58,Antonov,An-158
A19N,31N,Airbus,A319neo
A20N,32N,Airbus,A320neo
A21N,32Q,Airbus,A321neo
A225,A5F,Antonov,An-225 Mriya
A306,AB6,Airbus,A300-600
A306,ABY,Airbus,A300-600 Freighter[4]
A30B,AB4,Airbus,"A300B2, A300B4, and A300C4"
A310,312,Airbus,A310-200
A310,313,Airbus,A310-300
A318,318,Airbus,A318
A318,32C,Airbus,A318 (sharklets)
A319,319,Airbus,A319
A319,32D,Airbus,A319 (sharklets)
A320,320,Airbus,A320
A320,32A,Airbus,A320 (sharklets)
A321,321,Airbus,A321
A321,32B,Airbus,A321 (sharklets)
A332,332,Airbus,A330-200
A333,333,Airbus,A330-300
A332,33X,Airbus,A330-200 Freighter
A333,33Y,Airbus,A330-300 Freighter
A337,[to be determined],Airbus,"A330-700 ""BelugaXL"""
A338,338,Airbus,A330-800
A339,339,Airbus,A330-900
A342,342,Airbus,A340-200
A343,343,Airbus,A340-300
A345,345,Airbus,A340-500
A346,346,Airbus,A340-600
A359,359,Airbus,A350-900
A35K,351,Airbus,A350-1000
A388,388,Airbus,A380-800
A3ST,ABB,Airbus,"A300-600ST ""Super Transporter"" / ""Beluga"""
A400,,Airbus,A400M Atlas
A748,HS7,Hawker Siddeley,HS 748
AC68,ACP,Gulfstream,Gulfstream/Rockwell (Aero) Commander 680
AC90,ACT,Gulfstream,Gulfstream/Rockwell (Aero) Turbo Commander 690
AJ27,C27,,ARJ21
AN12,ANF,Antonov,An-12
AN24,AN4,Antonov,An-24
AN26,A26,Antonov,An-26
AN28,A28,Antonov,An-28
AN30,A30,Antonov,An-30
AN32,A32,Antonov,An-32
AN72,AN7,Antonov,An-72 / An-74
AS32,APH,Eurocopter,AS332 Super Puma
AS50,NDE,Eurocopter,AS350 Écureuil / AS550 Fennec
AT43,AT4,Aerospatiale,Aerospatiale/Alenia ATR 42-300 / 320
AT45,AT5,Aerospatiale,Aerospatiale/Alenia ATR 42-500
AT46,ATR,Aerospatiale,Aerospatiale/Alenia ATR 42-600
AT72,AT7,Aerospatiale,Aerospatiale/Alenia ATR 72-201/-202
AT73,ATR,Aerospatiale,Aerospatiale/Alenia ATR 72-211/-212
AT75,ATR,Aerospatiale,Aerospatiale/Alenia ATR 72-212A (500)
AT76,ATR,Aerospatiale,Aerospatiale/Alenia ATR 72-212A (600)
ATP,ATP,British Aerospace,ATP
B06,,Bell,206 JetRanger
B06T,,Bell,206 TwinRanger
B105,MBH,Eurocopter,(MBB) Bo.105
B190,BEH,Beechcraft,1900
B212,BH2,Bell,212
B37M,7M7,Boeing,737 MAX 7
B38M,7M8,Boeing,737 MAX 8
B39M,7M9,Boeing,737 MAX 9
B3XM,7MJ,Boeing,737 MAX 10
B412,BH2,Bell,412
B429,BH2,Bell,429
B461,141,Avro,RJ70
B462,142,Avro,RJ85
B463,143,Avro,RJ100
B52,N/A,Boeing,B-52 Stratofortress
B703,703,Boeing,707
B712,717,Boeing,717
B720,B72,Boeing,720B
B721,721,Boeing,727-100
B722,722,Boeing,727-200
B732,732,Boeing,737-200
B732,73F,Boeing,737-200 Freighter
B733,733,Boeing,737-300
B733,73C,Boeing,737-300 Winglets
B733,73Y,Boeing,737-300 Freighter
B734,734,Boeing,737-400
B734,73P,Boeing,737-400 Freighter
B735,735,Boeing,737-500
B735,73E,Boeing,737-500 Winglets
B736,736,Boeing,737-600
B738,738,Boeing,737-800
B739,739,Boeing,737-900 / 
B737,73G,Boeing,737-700 / 
B737,73W,Boeing,737-700 Winglets
B738,73H,Boeing,737-800 Winglets
B738,73K,Boeing,737-800 Freighter Winglets
B738,73U,Boeing,737-800 Freighter
B739,73J,Boeing,737-900 Winglets
B741,741,Boeing,747-100
B741,74T,Boeing,747-100 Freighter
B742,742,Boeing,747-200
B742,74C,Boeing,747-200M
B742,74X,Boeing,747-200F
B743,743,Boeing,747-300
B743,74D,Boeing,747-300M
B744,744,Boeing,747-400 / 
B744,74E,Boeing,747-400M
B744,74Y,Boeing,747-400F / 
B748,74H,Boeing,747-8I
B748,74N,Boeing,747-8F
B74R,74R,Boeing,747SR
